,Unnamed: 0,index,drugbank_id,name,smiles,selfies,logP ALOGPS,logP ChemAxon,solubility ALOGPS,pKa (strongest acidic),pKa (strongest basic)
10,10,10,DB00114,Pyridoxal phosphate,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,[C][C][=N][C][=C][Branch1][O][C][O][P][Branch1][C][O][Branch1][C][O][=O][C][Branch1][Ring1][C][=O][=C][Ring1][=C][O],-0.55,-2.1,5.70e+00 g/l,1.68,4.11
11,11,11,DB00115,Cyanocobalamin,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,[C][C@H1][Branch2][=Branch2][=N][C][N][C][=Branch1][C][=O][C][C][C@][Branch1][C][C][C@@H1][Branch1][#Branch1][C][C][Branch1][C][N][=O][C@H1][N][=C][Ring1][#Branch2][\C][Branch1][C][C][=C][/N][=C][Branch2][=Branch1][#Branch1][/C][=C][\N][=C][Branch2][Ring2][=Branch2][\C][Branch1][C][\C][=C][\C@@H1][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C@][Branch1][C][C][Branch1][#Branch1][C][C][Branch1][C][N][=O][C@@][Ring2][Ring1][N][Branch1][C][C][N][Ring1][S][Co+1][C][#N][C@@][Branch1][C][C][Branch1][#Branch1][C][C][Branch1][C][N][=O][C@@H1][Ring2][Ring1][#C][C][C][C][Branch1][C][N][=O][C][Branch1][C][C][Branch1][C][C][C@@H1][Ring2][Ring2][N][C][C][C][Branch1][C][N][=O][O][P][Branch1][C][O-1][=Branch1][C][=O][O][C@@H1][C@@H1][Branch1][Ring1][C][O][O][C@@H1][Branch1][Branch1][C@@H1][Ring1][#Branch1][O][N][C][=N][C][=C][Ring1][Branch1][C][=C][Branch1][C][C][C][Branch1][C][C][=C][Ring1][Branch2],2.66,-3.2,2.02e-02 g/l,1.82,8.68
12,12,12,DB00116,Tetrahydrofolic acid,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,[N][C][=N][C][=Branch1][C][=O][C][=C][Branch2][Ring2][O][N][C][C][Branch2][Ring1][P][C][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][Branch1][C][O][=O][C][Branch1][C][O][=O][N][Ring2][Ring1][#Branch2][N][Ring2][Ring1][#C],-0.96,-4.2,2.69e-01 g/l,3.51,3.58
13,13,13,DB00117,Histidine,N[C@@H](CC1=CNC=N1)C(O)=O,[N][C@@H1][Branch1][=Branch2][C][C][=C][N][C][=N][Ring1][Branch1][C][Branch1][C][O][=O],-2.7,-3.6,7.13e+01 g/l,1.85,9.44
14,14,14,DB00118,Ademetionine,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,[C][S+1][Branch1][N][C][C][C@H1][Branch1][C][N][C][Branch1][C][O-1][=O][C][C@H1][O][C@H1][Branch1][=Branch2][C@H1][Branch1][C][O][C@@H1][Ring1][=Branch1][O][N][C][=N][C][=C][Ring1][Branch1][N][=C][N][=C][Ring1][=Branch1][N],0.05,-5.3,1.62e+00 g/l,1.7,9.41
15,15,15,DB00119,Pyruvic acid,CC(=O)C(O)=O,[C][C][=Branch1][C][=O][C][Branch1][C][O][=O],-0.38,0.066,1.34e+02 g/l,2.93,-9.6
16,16,16,DB00120,Phenylalanine,N[C@@H](CC1=CC=CC=C1)C(O)=O,[N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][O][=O],-1.4,-1.2,4.14e+00 g/l,2.47,9.45
17,17,17,DB00121,Biotin,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,[H][C@][C][S][C@@H1][Branch1][#Branch2][C][C][C][C][C][Branch1][C][O][=O][C@@][Ring1][N][Branch1][C][H][N][C][=Branch1][C][=O][N][Ring1][P],0.17,0.32,1.22e+00 g/l,4.4,-1.9
18,18,18,DB00122,Choline,C[N+](C)(C)CCO,[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O],-3.6,-4.7,3.61e+00 g/l,13.97,-3.2
19,19,19,DB00123,L-Lysine,NCCCC[C@H](N)C(O)=O,[N][C][C][C][C][C@H1][Branch1][C][N][C][Branch1][C][O][=O],-3.8,-3.2,1.05e+02 g/l,2.74,10.29
20,20,20,DB00125,Arginine,N[C@@H](CCCNC(N)=N)C(O)=O,[N][C@@H1][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=N][C][Branch1][C][O][=O],-3.5,-3.2,2.28e+00 g/l,2.41,12.41
21,21,21,DB00126,Ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,[H][C@@][Branch1][=C][O][C][=Branch1][C][=O][C][Branch1][C][O][=C][Ring1][#Branch1][O][C@@H1][Branch1][C][O][C][O],-1.6,-1.9,2.45e+02 g/l,4.36,-3.0
22,22,22,DB00128,Aspartic acid,N[C@@H](CC(O)=O)C(O)=O,[N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][O][=O][C][Branch1][C][O][=O],-3.5,-3.5,1.42e+02 g/l,1.7,9.61
23,23,23,DB00129,Ornithine,NCCC[C@H](N)C(O)=O,[N][C][C][C][C@H1][Branch1][C][N][C][Branch1][C][O][=O],-3.6,-3.7,1.72e+02 g/l,2.67,10.29
24,24,24,DB00130,L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O,[N][C@@H1][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][Branch1][C][O][=O],-3.3,-4.0,9.78e+01 g/l,2.15,9.31
25,25,25,DB00131,Adenosine phosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,[N][C][=C][N][=C][N][Branch2][Ring1][Branch2][C@@H1][O][C@H1][Branch1][O][C][O][P][Branch1][C][O][Branch1][C][O][=O][C@@H1][Branch1][C][O][C@H1][Ring1][N][O][C][Ring2][Ring1][C][=N][C][=N][Ring2][Ring1][=Branch1],-3.1,-4.8,3.31e+00 g/l,1.23,4.97
26,26,26,DB00133,Serine,N[C@@H](CO)C(O)=O,[N][C@@H1][Branch1][Ring1][C][O][C][Branch1][C][O][=O],-3.4,-3.9,4.80e+02 g/l,2.03,8.93
27,27,27,DB00134,Methionine,CSCC[C@H](N)C(O)=O,[C][S][C][C][C@H1][Branch1][C][N][C][Branch1][C][O][=O],-1.8,-2.2,2.39e+01 g/l,2.53,9.5
28,28,28,DB00135,Tyrosine,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,[N][C@@H1][Branch1][=N][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][Branch1][C][O][=O],-2.4,-1.5,7.67e+00 g/l,2.0,9.19
29,29,29,DB00136,Calcitriol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,[C][C@H1][Branch1][N][C][C][C][C][Branch1][C][C][Branch1][C][C][O][C@@][Branch1][C][H][C][C][C@@][Branch1][C][H][\C][Branch1][#Branch2][C][C][C][C@][Ring1][O][Ring1][#Branch1][C][=C][\C][=C][\C][C@@H1][Branch1][C][O][C][C@H1][Branch1][C][O][C][Ring1][Branch2][=C],5.51,4.35,6.67e-03 g/l,14.39,-1.3
30,30,30,DB00137,Lutein,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,[C][\C][Branch2][Ring1][N][\C][=C][\C][=C][Branch1][C][/C][\C][=C][\C@H1][C][Branch1][C][C][=C][C@H1][Branch1][C][O][C][C][Ring1][Branch2][Branch1][C][C][C][=C][/C][=C][/C][=C][Branch1][C][\C][/C][=C][/C][=C][Branch1][C][\C][/C][=C][/C][=C][Branch1][C][C][C][C@@H1][Branch1][C][O][C][C][Ring1][Branch2][Branch1][C][C][C],8.29,8.55,7.32e-04 g/l,18.22,-0.91
31,31,31,DB00138,Cystine,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,[N][C@@H1][Branch1][=C][C][S][S][C][C@H1][Branch1][C][N][C][Branch1][C][O][=O][C][Branch1][C][O][=O],-3.2,-5.9,1.68e+01 g/l,1.56,9.34
32,32,32,DB00140,Riboflavin,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,[C][C][=C][Branch1][C][C][C][=C][N][Branch1][S][C][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][C][=N][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][Ring1][Branch2][=N][C][Ring2][Ring1][Branch1][=C][Ring2][Ring1][#Branch2],-1.0,-0.92,6.57e-01 g/l,6.97,0.76
33,33,33,DB00141,N-Acetylglucosamine,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,[H][C][=Branch1][C][=O][C@H1][Branch1][#Branch1][N][C][Branch1][C][C][=O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O],-2.1,-3.9,1.48e+02 g/l,11.56,-1.2
34,34,34,DB00142,Glutamic acid,N[C@@H](CCC(O)=O)C(O)=O,[N][C@@H1][Branch1][Branch2][C][C][C][Branch1][C][O][=O][C][Branch1][C][O][=O],-3.5,-3.2,8.06e+01 g/l,1.88,9.54
35,35,35,DB00143,Glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,[N][C@@H1][Branch2][Ring1][Branch2][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][Ring1][C][S][C][=Branch1][C][=O][N][C][C][Branch1][C][O][=O][C][Branch1][C][O][=O],-2.7,-4.9,8.79e-01 g/l,1.94,9.22
36,36,36,DB00144,Phosphatidyl serine,CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O,[C][C][C][C][=Branch1][C][=O][O][C@H1][Branch1][=Branch2][C][O][C][=Branch1][C][=O][C][C][C][O][P][Branch1][C][O][=Branch1][C][=O][O][C][C@H1][Branch1][C][N][C][Branch1][C][O][=O],-1.0,-1.6,3.70e+00 g/l,1.47,9.38
37,37,37,DB00145,Glycine,NCC(O)=O,[N][C][C][Branch1][C][O][=O],-3.3,-3.4,5.52e+02 g/l,2.31,9.24
38,38,38,DB00146,Calcifediol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,[C][C@H1][Branch1][N][C][C][C][C][Branch1][C][C][Branch1][C][C][O][C@@][Branch1][C][H][C][C][C@@][Branch1][C][H][\C][Branch1][#Branch2][C][C][C][C@][Ring1][O][Ring1][#Branch1][C][=C][\C][=C][\C][C@@H1][Branch1][C][O][C][C][C][Ring1][#Branch1][=C],6.71,5.65,2.20e-03 g/l,18.38,-0.98
